Index,Image_ID,Breed,Chest_Girth_cm,Back_Length_cm,Height_cm,Recommended_Size,Fit_Ratio,Verdict,Mesh_OBJ,Depth_PNG,Mask_PNG,VTON_PNG
48,00048,Golden Retriever,100.3,55.9,83.0,XL,1.013,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00048_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00048_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00048_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00048_stage4_vton_XL.png
49,00049,Golden Retriever,116.7,56.3,74.7,XL,1.179,Tight,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00049_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00049_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00049_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00049_stage4_vton_XL.png
50,00050,Golden Retriever,90.7,52.9,72.1,L,1.055,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00050_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00050_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00050_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00050_stage4_vton_L.png
51,00051,Golden Retriever,95.4,49.5,61.6,XL,0.964,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00051_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00051_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00051_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00051_stage4_vton_XL.png
52,00052,Golden Retriever,96.7,48.3,70.0,XL,0.977,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00052_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00052_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00052_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00052_stage4_vton_XL.png
53,00053,Golden Retriever,87.1,109.0,68.4,L,1.013,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00053_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00053_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00053_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00053_stage4_vton_L.png
54,00054,Golden Retriever,99.1,52.7,72.6,XL,1.001,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00054_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00054_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00054_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00054_stage4_vton_XL.png
55,00055,Golden Retriever,91.3,23.9,79.0,L,1.062,Tight,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00055_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00055_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00055_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00055_stage4_vton_L.png
56,00056,Golden Retriever,102.4,57.5,80.0,XL,1.034,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00056_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00056_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00056_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00056_stage4_vton_XL.png
57,00057,Golden Retriever,81.8,46.1,62.1,L,0.951,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00057_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00057_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00057_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00057_stage4_vton_L.png
58,00058,Golden Retriever,65.5,56.7,76.8,S,1.048,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00058_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00058_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00058_stage3_mask_S.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00058_stage4_vton_S.png
59,00059,Golden Retriever,87.6,42.4,71.2,L,1.019,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00059_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00059_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00059_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00059_stage4_vton_L.png
60,00060,Golden Retriever,85.0,56.6,76.2,L,0.988,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00060_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00060_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00060_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00060_stage4_vton_L.png
61,00061,Golden Retriever,91.8,56.1,84.7,L,1.067,Tight,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00061_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00061_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00061_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00061_stage4_vton_L.png
62,00062,Golden Retriever,100.5,61.8,84.4,XL,1.015,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00062_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00062_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00062_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00062_stage4_vton_XL.png
63,00063,Golden Retriever,94.1,21.1,78.4,XL,0.951,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00063_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00063_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00063_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00063_stage4_vton_XL.png
64,00001,Labrador Retriever,85.8,103.0,75.8,L,0.998,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00001_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00001_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00001_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00001_stage4_vton_L.png
65,00002,Labrador Retriever,96.8,51.5,67.9,XL,0.978,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00002_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00002_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00002_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00002_stage4_vton_XL.png
66,00003,Labrador Retriever,97.9,54.3,64.1,XL,0.989,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00003_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00003_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00003_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00003_stage4_vton_XL.png
67,00004,Labrador Retriever,91.8,52.7,75.8,L,1.067,Tight,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00004_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00004_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00004_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00004_stage4_vton_L.png
68,00005,Labrador Retriever,76.7,47.6,68.4,M,1.023,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00005_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00005_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00005_stage3_mask_M.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00005_stage4_vton_M.png
69,00006,Labrador Retriever,88.8,7.8,60.8,L,1.033,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00006_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00006_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00006_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00006_stage4_vton_L.png
70,00007,Labrador Retriever,80.8,52.3,69.1,L,0.94,Loose,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00007_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00007_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00007_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00007_stage4_vton_L.png
71,00008,Labrador Retriever,78.7,21.2,89.4,M,1.049,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00008_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00008_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00008_stage3_mask_M.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00008_stage4_vton_M.png
72,00009,Labrador Retriever,92.6,42.5,66.8,XL,0.935,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00009_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00009_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00009_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00009_stage4_vton_XL.png
73,00010,Labrador Retriever,134.5,51.0,68.2,XL,1.359,Tight,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00010_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00010_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00010_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00010_stage4_vton_XL.png
74,00011,Labrador Retriever,99.0,61.2,80.3,XL,1.0,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00011_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00011_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00011_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00011_stage4_vton_XL.png
75,00012,Labrador Retriever,94.6,59.4,79.9,XL,0.956,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00012_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00012_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00012_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00012_stage4_vton_XL.png
76,00013,Labrador Retriever,91.4,39.6,51.1,L,1.063,Tight,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00013_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00013_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00013_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00013_stage4_vton_L.png
77,00014,Labrador Retriever,89.7,49.6,81.1,L,1.043,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00014_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00014_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00014_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00014_stage4_vton_L.png
78,00015,Labrador Retriever,113.0,50.4,71.4,XL,1.141,Tight,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00015_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00015_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00015_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00015_stage4_vton_XL.png
79,00016,Labrador Retriever,96.5,58.5,76.9,XL,0.975,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00016_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00016_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00016_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00016_stage4_vton_XL.png
80,00017,Labrador Retriever,97.2,60.1,80.4,XL,0.982,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00017_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00017_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00017_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00017_stage4_vton_XL.png
81,00018,Labrador Retriever,94.9,62.0,80.2,XL,0.959,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00018_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00018_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00018_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00018_stage4_vton_XL.png
82,00019,Labrador Retriever,96.8,39.5,70.6,XL,0.978,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00019_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00019_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00019_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00019_stage4_vton_XL.png
83,00020,Labrador Retriever,86.3,55.5,68.4,L,1.003,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00020_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00020_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00020_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00020_stage4_vton_L.png
84,00021,Labrador Retriever,92.9,18.4,68.3,XL,0.938,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00021_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00021_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00021_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00021_stage4_vton_XL.png
85,00022,Labrador Retriever,85.8,48.4,69.8,L,0.998,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00022_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00022_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00022_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00022_stage4_vton_L.png
86,00023,Labrador Retriever,89.7,128.9,63.7,L,1.043,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00023_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00023_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00023_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00023_stage4_vton_L.png
87,00024,Labrador Retriever,90.7,55.2,73.1,L,1.055,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00024_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00024_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00024_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00024_stage4_vton_L.png
88,00025,Labrador Retriever,101.2,40.0,69.1,XL,1.022,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00025_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00025_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00025_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00025_stage4_vton_XL.png
89,00026,Labrador Retriever,91.5,53.6,72.3,L,1.064,Tight,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00026_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00026_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00026_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00026_stage4_vton_L.png
90,00027,Labrador Retriever,86.5,51.0,72.4,L,1.006,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00027_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00027_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00027_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00027_stage4_vton_L.png
91,00028,Labrador Retriever,85.5,53.9,79.5,L,0.994,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00028_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00028_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00028_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00028_stage4_vton_L.png
92,00029,Labrador Retriever,96.8,53.0,71.2,XL,0.978,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00029_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00029_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00029_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00029_stage4_vton_XL.png
93,00030,Labrador Retriever,107.4,36.1,62.3,XL,1.085,Tight,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00030_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00030_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00030_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00030_stage4_vton_XL.png
94,00031,Labrador Retriever,87.7,60.9,81.0,L,1.02,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00031_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00031_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00031_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00031_stage4_vton_L.png
95,00032,Labrador Retriever,80.4,53.9,59.5,M,1.072,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00032_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00032_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00032_stage3_mask_M.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00032_stage4_vton_M.png
96,00033,Labrador Retriever,93.7,58.3,78.9,XL,0.946,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00033_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00033_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00033_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00033_stage4_vton_XL.png
97,00034,Labrador Retriever,86.9,64.7,74.5,L,1.01,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00034_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00034_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00034_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00034_stage4_vton_L.png
98,00035,Labrador Retriever,86.9,59.8,81.9,L,1.01,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\labrador\00035_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\labrador\00035_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\labrador\00035_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\labrador\00035_stage4_vton_L.png
