Index,Image_ID,Breed,Chest_Girth_cm,Back_Length_cm,Height_cm,Recommended_Size,Fit_Ratio,Verdict,Mesh_OBJ,Depth_PNG,Mask_PNG,VTON_PNG
12,00012,Golden Retriever,84.7,58.8,75.3,L,0.985,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00012_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00012_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00012_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00012_stage4_vton_L.png
13,00013,Golden Retriever,89.7,45.7,67.7,L,1.043,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00013_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00013_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00013_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00013_stage4_vton_L.png
14,00014,Golden Retriever,88.2,56.7,76.9,L,1.026,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00014_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00014_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00014_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00014_stage4_vton_L.png
15,00015,Golden Retriever,155.4,46.2,66.0,XL,1.57,Tight,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00015_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00015_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00015_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00015_stage4_vton_XL.png
16,00016,Golden Retriever,77.9,64.8,66.4,M,1.039,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00016_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00016_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00016_stage3_mask_M.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00016_stage4_vton_M.png
17,00017,Golden Retriever,157.2,45.5,67.1,XL,1.588,Tight,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00017_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00017_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00017_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00017_stage4_vton_XL.png
18,00018,Golden Retriever,96.8,59.8,78.3,XL,0.978,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00018_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00018_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00018_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00018_stage4_vton_XL.png
19,00019,Golden Retriever,83.5,52.3,71.8,L,0.971,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00019_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00019_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00019_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00019_stage4_vton_L.png
20,00020,Golden Retriever,105.1,45.1,68.2,XL,1.062,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00020_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00020_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00020_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00020_stage4_vton_XL.png
21,00021,Golden Retriever,85.2,47.6,68.2,L,0.991,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00021_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00021_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00021_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00021_stage4_vton_L.png
