index,breed,source_image,output_image,garment_name,chest_girth_cm,back_length_cm,withers_height_cm,recommended_size,physical_fit_ratio,fit_verdict,processing_time_sec
19,golden,00019.jpg,00019_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,83.5,52.3,71.8,L,0.971,Good Fit,1.13
20,golden,00020.jpg,00020_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,105.1,45.1,68.2,XL,1.062,Good Fit,1.12
21,golden,00021.jpg,00021_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,85.2,47.6,68.2,L,0.991,Good Fit,1.13
22,golden,00022.jpg,00022_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,83.6,52.9,59.1,L,0.972,Good Fit,1.12
23,golden,00023.jpg,00023_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,85.9,87.8,66.0,L,0.999,Good Fit,1.11
24,golden,00024.jpg,00024_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,93.4,48.2,68.2,XL,0.943,Good Fit,1.13
25,golden,00025.jpg,00025_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,93.3,123.9,64.3,XL,0.942,Good Fit,1.12
26,golden,00026.jpg,00026_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,91.5,50.4,71.0,L,1.064,Tight,1.14
27,golden,00027.jpg,00027_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,86.4,55.1,59.4,L,1.005,Good Fit,1.13
28,golden,00028.jpg,00028_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,88.3,42.7,77.2,L,1.027,Good Fit,1.12
29,golden,00029.jpg,00029_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,148.2,35.3,57.3,XL,1.497,Tight,1.11
30,golden,00030.jpg,00030_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,95.9,63.2,83.3,XL,0.969,Good Fit,1.14
31,golden,00031.jpg,00031_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,90.2,37.9,60.4,L,1.049,Good Fit,1.13
32,golden,00032.jpg,00032_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,82.8,23.7,59.4,L,0.963,Good Fit,1.13
33,golden,00033.jpg,00033_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,104.3,58.8,80.9,XL,1.054,Good Fit,1.13
34,golden,00034.jpg,00034_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,93.3,59.6,80.0,XL,0.942,Good Fit,1.1
35,golden,00035.jpg,00035_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,100.0,111.8,85.9,XL,1.01,Good Fit,1.12
36,golden,00036.jpg,00036_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,134.9,112.0,85.8,XL,1.363,Tight,1.11
37,golden,00037.jpg,00037_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,93.7,19.9,60.5,XL,0.946,Good Fit,1.12
38,golden,00038.jpg,00038_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,86.3,60.0,74.4,L,1.003,Good Fit,1.1
39,golden,00039.jpg,00039_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,87.4,49.1,69.4,L,1.016,Good Fit,1.13
40,golden,00040.jpg,00040_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,100.0,61.8,77.9,XL,1.01,Good Fit,1.14
41,golden,00041.jpg,00041_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,95.3,139.9,87.9,XL,0.963,Good Fit,1.17
42,golden,00042.jpg,00042_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,81.8,53.3,62.4,L,0.951,Good Fit,1.15
43,golden,00043.jpg,00043_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,119.0,48.9,78.6,XL,1.202,Tight,1.23
44,golden,00044.jpg,00044_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,82.3,54.2,73.3,L,0.957,Good Fit,1.23
45,golden,00045.jpg,00045_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,88.9,135.7,90.6,L,1.034,Good Fit,1.25
46,golden,00046.jpg,00046_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,118.5,66.7,69.4,XL,1.197,Tight,1.24
47,golden,00047.jpg,00047_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,71.5,42.7,59.7,M,0.953,Good Fit,1.16
48,golden,00048.jpg,00048_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,100.3,55.9,83.0,XL,1.013,Good Fit,1.15
49,golden,00049.jpg,00049_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,116.7,56.3,74.7,XL,1.179,Tight,1.17
50,golden,00050.jpg,00050_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,90.7,52.9,72.1,L,1.055,Good Fit,1.17
51,golden,00051.jpg,00051_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,95.4,49.5,61.6,XL,0.964,Good Fit,1.24
52,golden,00052.jpg,00052_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,96.7,48.3,70.0,XL,0.977,Good Fit,1.2
53,golden,00053.jpg,00053_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,87.1,109.0,68.4,L,1.013,Good Fit,1.22
