Global_Index,Garment_Category,Garment_Brand_Model,Garment_Folder,Dog_ID,Breed,Chest_Girth_cm,Back_Length_cm,Withers_Height_cm,Recommended_Size,Fit_Ratio,Verdict,Clean_Tryon_File
190,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00061,Golden Retriever,91.8,56.1,84.7,L,1.067,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\golden\00061_clean_tryon.png
191,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00062,Golden Retriever,100.5,61.8,84.4,XL,1.015,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\golden\00062_clean_tryon.png
192,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00063,Golden Retriever,94.1,21.1,78.4,XL,0.951,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\golden\00063_clean_tryon.png
193,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00001,Labrador Retriever,85.8,103.0,75.8,L,0.998,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00001_clean_tryon.png
194,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00002,Labrador Retriever,96.8,51.5,67.9,XL,0.978,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00002_clean_tryon.png
195,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00003,Labrador Retriever,97.9,54.3,64.1,XL,0.989,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00003_clean_tryon.png
196,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00004,Labrador Retriever,91.8,52.7,75.8,L,1.067,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00004_clean_tryon.png
197,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00005,Labrador Retriever,76.7,47.6,68.4,M,1.023,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00005_clean_tryon.png
198,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00006,Labrador Retriever,88.8,7.8,60.8,L,1.033,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00006_clean_tryon.png
199,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00007,Labrador Retriever,80.8,52.3,69.1,L,0.94,Loose,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00007_clean_tryon.png
200,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00008,Labrador Retriever,78.7,21.2,89.4,M,1.049,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00008_clean_tryon.png
201,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00009,Labrador Retriever,92.6,42.5,66.8,XL,0.935,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00009_clean_tryon.png
202,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00010,Labrador Retriever,134.5,51.0,68.2,XL,1.359,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00010_clean_tryon.png
203,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00011,Labrador Retriever,99.0,61.2,80.3,XL,1.0,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00011_clean_tryon.png
204,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00012,Labrador Retriever,94.6,59.4,79.9,XL,0.956,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00012_clean_tryon.png
205,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00013,Labrador Retriever,91.4,39.6,51.1,L,1.063,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00013_clean_tryon.png
206,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00014,Labrador Retriever,89.7,49.6,81.1,L,1.043,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00014_clean_tryon.png
207,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00015,Labrador Retriever,113.0,50.4,71.4,XL,1.141,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00015_clean_tryon.png
208,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00016,Labrador Retriever,96.5,58.5,76.9,XL,0.975,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00016_clean_tryon.png
209,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00017,Labrador Retriever,97.2,60.1,80.4,XL,0.982,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00017_clean_tryon.png
210,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00018,Labrador Retriever,94.9,62.0,80.2,XL,0.959,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00018_clean_tryon.png
211,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00019,Labrador Retriever,96.8,39.5,70.6,XL,0.978,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00019_clean_tryon.png
212,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00020,Labrador Retriever,86.3,55.5,68.4,L,1.003,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00020_clean_tryon.png
213,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00021,Labrador Retriever,92.9,18.4,68.3,XL,0.938,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00021_clean_tryon.png
214,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00022,Labrador Retriever,85.8,48.4,69.8,L,0.998,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00022_clean_tryon.png
215,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00023,Labrador Retriever,89.7,128.9,63.7,L,1.043,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00023_clean_tryon.png
216,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00024,Labrador Retriever,90.7,55.2,73.1,L,1.055,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00024_clean_tryon.png
217,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00025,Labrador Retriever,101.2,40.0,69.1,XL,1.022,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00025_clean_tryon.png
218,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00026,Labrador Retriever,91.5,53.6,72.3,L,1.064,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00026_clean_tryon.png
219,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00027,Labrador Retriever,86.5,51.0,72.4,L,1.006,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00027_clean_tryon.png
220,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00028,Labrador Retriever,85.5,53.9,79.5,L,0.994,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00028_clean_tryon.png
221,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00029,Labrador Retriever,96.8,53.0,71.2,XL,0.978,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00029_clean_tryon.png
222,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00030,Labrador Retriever,107.4,36.1,62.3,XL,1.085,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00030_clean_tryon.png
223,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00031,Labrador Retriever,87.7,60.9,81.0,L,1.02,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00031_clean_tryon.png
224,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00032,Labrador Retriever,80.4,53.9,59.5,M,1.072,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00032_clean_tryon.png
225,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00033,Labrador Retriever,93.7,58.3,78.9,XL,0.946,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00033_clean_tryon.png
226,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00034,Labrador Retriever,86.9,64.7,74.5,L,1.01,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00034_clean_tryon.png
227,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00035,Labrador Retriever,86.9,59.8,81.9,L,1.01,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00035_clean_tryon.png
228,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00036,Labrador Retriever,119.4,53.7,53.5,XL,1.206,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00036_clean_tryon.png
229,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00037,Labrador Retriever,81.2,41.0,64.0,L,0.944,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00037_clean_tryon.png
230,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00038,Labrador Retriever,92.5,52.6,81.2,L,1.076,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00038_clean_tryon.png
231,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00039,Labrador Retriever,114.3,62.5,69.1,XL,1.155,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00039_clean_tryon.png
232,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00040,Labrador Retriever,137.7,53.5,64.7,XL,1.391,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00040_clean_tryon.png
233,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00041,Labrador Retriever,93.3,49.7,70.2,XL,0.942,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00041_clean_tryon.png
234,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00042,Labrador Retriever,94.3,57.8,72.1,XL,0.953,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00042_clean_tryon.png
235,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00043,Labrador Retriever,87.5,44.9,66.9,L,1.017,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00043_clean_tryon.png
236,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00044,Labrador Retriever,86.2,50.6,70.4,L,1.002,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00044_clean_tryon.png
237,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00045,Labrador Retriever,89.4,59.5,74.2,L,1.04,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00045_clean_tryon.png
238,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00046,Labrador Retriever,88.2,56.7,72.7,L,1.026,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00046_clean_tryon.png
239,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00047,Labrador Retriever,152.2,57.6,78.6,XL,1.537,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00047_clean_tryon.png
240,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00048,Labrador Retriever,99.6,45.4,65.3,XL,1.006,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00048_clean_tryon.png
241,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00049,Labrador Retriever,98.3,59.8,79.8,XL,0.993,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00049_clean_tryon.png
242,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00050,Labrador Retriever,103.1,51.7,68.5,XL,1.041,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00050_clean_tryon.png
243,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00051,Labrador Retriever,116.7,65.2,71.6,XL,1.179,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00051_clean_tryon.png
244,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00052,Labrador Retriever,87.2,52.6,68.8,L,1.014,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00052_clean_tryon.png
245,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00053,Labrador Retriever,86.5,61.0,79.5,L,1.006,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00053_clean_tryon.png
246,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00054,Labrador Retriever,95.7,23.8,76.3,XL,0.967,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00054_clean_tryon.png
247,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00055,Labrador Retriever,95.0,135.7,77.7,XL,0.96,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00055_clean_tryon.png
248,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00056,Labrador Retriever,91.6,74.2,65.2,L,1.065,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00056_clean_tryon.png
249,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00057,Labrador Retriever,96.0,33.2,66.0,XL,0.97,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00057_clean_tryon.png
250,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00058,Labrador Retriever,87.6,40.0,71.6,L,1.019,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00058_clean_tryon.png
251,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00059,Labrador Retriever,101.9,52.4,73.1,XL,1.029,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00059_clean_tryon.png
252,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00060,Labrador Retriever,99.7,135.4,77.9,XL,1.007,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00060_clean_tryon.png
253,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00061,Labrador Retriever,81.2,43.9,61.6,L,0.944,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00061_clean_tryon.png
254,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00062,Labrador Retriever,92.0,51.3,71.7,L,1.07,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00062_clean_tryon.png
255,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00063,Labrador Retriever,92.4,60.5,73.1,L,1.074,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00063_clean_tryon.png
256,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00064,Labrador Retriever,91.8,50.6,65.0,L,1.067,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00064_clean_tryon.png
257,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00065,Labrador Retriever,90.1,55.6,75.5,L,1.048,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00065_clean_tryon.png
258,Extreme Thermal Parka,Hurtta Extreme Warmer (Lingonberry Red),02_extreme_thermal_parka_hurtta_red,00066,Labrador Retriever,85.8,58.4,77.2,L,0.998,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\02_extreme_thermal_parka_hurtta_red\labrador\00066_clean_tryon.png
259,All-Day Padded Harness,Ruffwear Front Range Harness (Red),03_all_day_padded_harness_ruffwear_red,00001,Golden Retriever,83.9,61.8,58.5,L,0.976,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\03_all_day_padded_harness_ruffwear_red\golden\00001_clean_tryon.png
260,All-Day Padded Harness,Ruffwear Front Range Harness (Red),03_all_day_padded_harness_ruffwear_red,00002,Golden Retriever,102.9,56.7,78.7,XL,1.039,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\03_all_day_padded_harness_ruffwear_red\golden\00002_clean_tryon.png
261,All-Day Padded Harness,Ruffwear Front Range Harness (Red),03_all_day_padded_harness_ruffwear_red,00003,Golden Retriever,93.2,47.2,75.4,XL,0.941,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\03_all_day_padded_harness_ruffwear_red\golden\00003_clean_tryon.png
262,All-Day Padded Harness,Ruffwear Front Range Harness (Red),03_all_day_padded_harness_ruffwear_red,00004,Golden Retriever,80.0,44.9,68.4,M,1.067,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\03_all_day_padded_harness_ruffwear_red\golden\00004_clean_tryon.png
263,All-Day Padded Harness,Ruffwear Front Range Harness (Red),03_all_day_padded_harness_ruffwear_red,00005,Golden Retriever,86.4,44.9,69.1,L,1.005,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\03_all_day_padded_harness_ruffwear_red\golden\00005_clean_tryon.png
264,All-Day Padded Harness,Ruffwear Front Range Harness (Red),03_all_day_padded_harness_ruffwear_red,00006,Golden Retriever,80.8,82.9,57.0,L,0.94,Loose,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\03_all_day_padded_harness_ruffwear_red\golden\00006_clean_tryon.png
265,All-Day Padded Harness,Ruffwear Front Range Harness (Red),03_all_day_padded_harness_ruffwear_red,00007,Golden Retriever,82.9,41.5,74.2,L,0.964,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\03_all_day_padded_harness_ruffwear_red\golden\00007_clean_tryon.png
266,All-Day Padded Harness,Ruffwear Front Range Harness (Red),03_all_day_padded_harness_ruffwear_red,00008,Golden Retriever,91.3,47.8,47.5,L,1.062,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\03_all_day_padded_harness_ruffwear_red\golden\00008_clean_tryon.png
267,All-Day Padded Harness,Ruffwear Front Range Harness (Red),03_all_day_padded_harness_ruffwear_red,00009,Golden Retriever,97.4,42.3,81.7,XL,0.984,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\03_all_day_padded_harness_ruffwear_red\golden\00009_clean_tryon.png
268,All-Day Padded Harness,Ruffwear Front Range Harness (Red),03_all_day_padded_harness_ruffwear_red,00010,Golden Retriever,89.5,52.9,66.6,L,1.041,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\03_all_day_padded_harness_ruffwear_red\golden\00010_clean_tryon.png
269,All-Day Padded Harness,Ruffwear Front Range Harness (Red),03_all_day_padded_harness_ruffwear_red,00011,Golden Retriever,119.3,50.9,69.8,XL,1.205,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\03_all_day_padded_harness_ruffwear_red\golden\00011_clean_tryon.png
270,All-Day Padded Harness,Ruffwear Front Range Harness (Red),03_all_day_padded_harness_ruffwear_red,00012,Golden Retriever,84.7,58.8,75.3,L,0.985,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\03_all_day_padded_harness_ruffwear_red\golden\00012_clean_tryon.png
271,All-Day Padded Harness,Ruffwear Front Range Harness (Red),03_all_day_padded_harness_ruffwear_red,00013,Golden Retriever,89.7,45.7,67.7,L,1.043,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\03_all_day_padded_harness_ruffwear_red\golden\00013_clean_tryon.png
272,All-Day Padded Harness,Ruffwear Front Range Harness (Red),03_all_day_padded_harness_ruffwear_red,00014,Golden Retriever,88.2,56.7,76.9,L,1.026,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\03_all_day_padded_harness_ruffwear_red\golden\00014_clean_tryon.png
273,All-Day Padded Harness,Ruffwear Front Range Harness (Red),03_all_day_padded_harness_ruffwear_red,00015,Golden Retriever,155.4,46.2,66.0,XL,1.57,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\03_all_day_padded_harness_ruffwear_red\golden\00015_clean_tryon.png
274,All-Day Padded Harness,Ruffwear Front Range Harness (Red),03_all_day_padded_harness_ruffwear_red,00016,Golden Retriever,77.9,64.8,66.4,M,1.039,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\03_all_day_padded_harness_ruffwear_red\golden\00016_clean_tryon.png
275,All-Day Padded Harness,Ruffwear Front Range Harness (Red),03_all_day_padded_harness_ruffwear_red,00017,Golden Retriever,157.2,45.5,67.1,XL,1.588,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\03_all_day_padded_harness_ruffwear_red\golden\00017_clean_tryon.png
276,All-Day Padded Harness,Ruffwear Front Range Harness (Red),03_all_day_padded_harness_ruffwear_red,00018,Golden Retriever,96.8,59.8,78.3,XL,0.978,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\03_all_day_padded_harness_ruffwear_red\golden\00018_clean_tryon.png
