Global_Index,Garment_Category,Garment_Brand_Model,Garment_Folder,Dog_ID,Breed,Chest_Girth_cm,Back_Length_cm,Withers_Height_cm,Recommended_Size,Fit_Ratio,Verdict,Clean_Tryon_File
20,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00020,Golden Retriever,105.1,45.1,68.2,XL,1.062,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00020_clean_tryon.png
21,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00021,Golden Retriever,85.2,47.6,68.2,L,0.991,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00021_clean_tryon.png
22,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00022,Golden Retriever,83.6,52.9,59.1,L,0.972,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00022_clean_tryon.png
23,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00023,Golden Retriever,85.9,87.8,66.0,L,0.999,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00023_clean_tryon.png
24,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00024,Golden Retriever,93.4,48.2,68.2,XL,0.943,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00024_clean_tryon.png
25,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00025,Golden Retriever,93.3,123.9,64.3,XL,0.942,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00025_clean_tryon.png
26,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00026,Golden Retriever,91.5,50.4,71.0,L,1.064,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00026_clean_tryon.png
27,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00027,Golden Retriever,86.4,55.1,59.4,L,1.005,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00027_clean_tryon.png
28,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00028,Golden Retriever,88.3,42.7,77.2,L,1.027,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00028_clean_tryon.png
29,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00029,Golden Retriever,148.2,35.3,57.3,XL,1.497,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00029_clean_tryon.png
30,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00030,Golden Retriever,95.9,63.2,83.3,XL,0.969,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00030_clean_tryon.png
31,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00031,Golden Retriever,90.2,37.9,60.4,L,1.049,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00031_clean_tryon.png
32,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00032,Golden Retriever,82.8,23.7,59.4,L,0.963,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00032_clean_tryon.png
33,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00033,Golden Retriever,104.3,58.8,80.9,XL,1.054,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00033_clean_tryon.png
34,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00034,Golden Retriever,93.3,59.6,80.0,XL,0.942,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00034_clean_tryon.png
35,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00035,Golden Retriever,100.0,111.8,85.9,XL,1.01,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00035_clean_tryon.png
36,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00036,Golden Retriever,134.9,112.0,85.8,XL,1.363,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00036_clean_tryon.png
37,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00037,Golden Retriever,93.7,19.9,60.5,XL,0.946,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00037_clean_tryon.png
38,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00038,Golden Retriever,86.3,60.0,74.4,L,1.003,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00038_clean_tryon.png
