Index,Image_ID,Breed,Chest_Girth_cm,Semi_Depth_A_cm,Semi_Width_B_cm,Back_Length_cm,Height_cm,Recommended_Size,Fit_Ratio,Verdict,Stage1_3D_Mesh,Stage2_Depth,Stage3_Mask,Stage4_VTON
130,golden_golden_retriever_standing_side_profile_bing_00004,Golden Retriever,134.9,23.5,19.4,121.5,61.0,XL,1.363,Tight,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00004_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00004_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00004_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00004_stage4_vton_XL.png
131,golden_golden_retriever_standing_side_profile_bing_00005,Golden Retriever,93.0,14.9,14.7,60.2,82.0,XL,0.939,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00005_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00005_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00005_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00005_stage4_vton_XL.png
132,golden_golden_retriever_standing_side_profile_bing_00006,Golden Retriever,87.3,14.3,13.5,55.4,65.8,L,1.015,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00006_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00006_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00006_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00006_stage4_vton_L.png
133,golden_golden_retriever_standing_side_profile_bing_00007,Golden Retriever,111.3,17.8,17.7,35.3,61.9,XL,1.124,Tight,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00007_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00007_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00007_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00007_stage4_vton_XL.png
134,golden_golden_retriever_standing_side_profile_bing_00008,Golden Retriever,94.3,15.5,14.5,59.7,88.9,XL,0.953,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00008_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00008_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00008_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00008_stage4_vton_XL.png
135,golden_golden_retriever_standing_side_profile_bing_00009,Golden Retriever,88.7,14.6,13.6,48.0,66.1,L,1.031,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00009_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00009_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00009_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00009_stage4_vton_L.png
136,golden_golden_retriever_standing_side_profile_bing_00010,Golden Retriever,83.1,13.3,13.2,57.6,76.0,L,0.966,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00010_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00010_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00010_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00010_stage4_vton_L.png
137,golden_golden_retriever_standing_side_profile_bing_00011,Golden Retriever,96.5,16.1,14.6,96.0,75.8,XL,0.975,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00011_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00011_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00011_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00011_stage4_vton_XL.png
138,golden_golden_retriever_standing_side_profile_bing_00012,Golden Retriever,88.5,14.1,14.1,41.8,64.0,L,1.029,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00012_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00012_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00012_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00012_stage4_vton_L.png
139,golden_golden_retriever_standing_side_profile_bing_00013,Golden Retriever,98.0,16.0,15.2,31.1,59.6,XL,0.99,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_standing_side_profile_bing_00013_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_standing_side_profile_bing_00013_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_standing_side_profile_bing_00013_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_standing_side_profile_bing_00013_stage4_vton_XL.png
