Index,Image_ID,Breed,Chest_Girth_cm,Semi_Depth_A_cm,Semi_Width_B_cm,Back_Length_cm,Height_cm,Recommended_Size,Fit_Ratio,Verdict,Stage1_3D_Mesh,Stage2_Depth,Stage3_Mask,Stage4_VTON
1,golden_golden_retriever_side_view_bing_00000,Golden Retriever,82.9,13.2,13.2,58.7,78.2,L,0.964,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00000_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00000_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00000_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00000_stage4_vton_L.png
2,golden_golden_retriever_side_view_bing_00001,Golden Retriever,86.3,14.0,13.4,60.6,80.1,L,1.003,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00001_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00001_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00001_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00001_stage4_vton_L.png
3,golden_golden_retriever_side_view_bing_00002,Golden Retriever,107.1,17.7,16.3,44.3,82.8,XL,1.082,Tight,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00002_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00002_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00002_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00002_stage4_vton_XL.png
4,golden_golden_retriever_side_view_bing_00003,Golden Retriever,90.2,14.8,14.0,56.7,73.1,L,1.049,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00003_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00003_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00003_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00003_stage4_vton_L.png
5,golden_golden_retriever_side_view_bing_00004,Golden Retriever,85.7,14.0,13.3,58.2,77.5,L,0.997,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00004_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00004_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00004_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00004_stage4_vton_L.png
6,golden_golden_retriever_side_view_bing_00005,Golden Retriever,83.3,13.5,13.0,59.3,76.7,L,0.969,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00005_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00005_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00005_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00005_stage4_vton_L.png
7,golden_golden_retriever_side_view_bing_00006,Golden Retriever,102.1,17.3,15.1,123.1,72.0,XL,1.031,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00006_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00006_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00006_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00006_stage4_vton_XL.png
8,golden_golden_retriever_side_view_bing_00007,Golden Retriever,79.4,13.5,11.7,48.7,73.7,M,1.059,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00007_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00007_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00007_stage3_mask_M.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00007_stage4_vton_M.png
9,golden_golden_retriever_side_view_bing_00008,Golden Retriever,106.4,18.8,15.0,48.4,65.9,XL,1.075,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00008_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00008_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00008_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00008_stage4_vton_XL.png
10,golden_golden_retriever_side_view_bing_00009,Golden Retriever,87.5,14.3,13.6,55.9,72.0,L,1.017,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00009_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00009_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00009_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00009_stage4_vton_L.png
11,golden_golden_retriever_side_view_bing_00010,Golden Retriever,89.9,14.5,14.1,47.0,69.2,L,1.045,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00010_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00010_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00010_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00010_stage4_vton_L.png
12,golden_golden_retriever_side_view_bing_00011,Golden Retriever,99.4,16.2,15.4,24.4,61.0,XL,1.004,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00011_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00011_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00011_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00011_stage4_vton_XL.png
13,golden_golden_retriever_side_view_bing_00012,Golden Retriever,98.0,16.0,15.2,31.1,59.6,XL,0.99,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00012_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00012_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00012_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00012_stage4_vton_XL.png
14,golden_golden_retriever_side_view_bing_00013,Golden Retriever,82.9,13.3,13.0,51.1,64.9,L,0.964,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00013_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00013_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00013_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00013_stage4_vton_L.png
15,golden_golden_retriever_side_view_bing_00014,Golden Retriever,88.7,14.3,13.9,60.5,69.4,L,1.031,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00014_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00014_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00014_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00014_stage4_vton_L.png
16,golden_golden_retriever_side_view_bing_00015,Golden Retriever,104.0,16.6,16.5,44.3,73.2,XL,1.051,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00015_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00015_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00015_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00015_stage4_vton_XL.png
17,golden_golden_retriever_side_view_bing_00016,Golden Retriever,81.7,13.6,12.4,59.1,81.5,L,0.95,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00016_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00016_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00016_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00016_stage4_vton_L.png
18,golden_golden_retriever_side_view_bing_00017,Golden Retriever,153.0,29.2,19.0,95.0,80.9,XL,1.545,Tight,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00017_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00017_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00017_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00017_stage4_vton_XL.png
19,golden_golden_retriever_side_view_bing_00018,Golden Retriever,86.4,14.5,13.0,55.3,84.8,L,1.005,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00018_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00018_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00018_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00018_stage4_vton_L.png
20,golden_golden_retriever_side_view_bing_00019,Golden Retriever,89.0,14.4,13.9,51.7,70.7,L,1.035,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00019_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00019_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00019_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00019_stage4_vton_L.png
21,golden_golden_retriever_side_view_bing_00020,Golden Retriever,83.1,13.8,12.6,55.2,74.5,L,0.966,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00020_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00020_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00020_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00020_stage4_vton_L.png
22,golden_golden_retriever_side_view_bing_00021,Golden Retriever,84.7,13.6,13.3,58.5,82.4,L,0.985,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00021_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00021_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00021_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00021_stage4_vton_L.png
23,golden_golden_retriever_side_view_bing_00022,Golden Retriever,104.9,18.4,14.9,49.0,60.6,XL,1.06,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00022_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00022_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00022_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00022_stage4_vton_XL.png
24,golden_golden_retriever_side_view_bing_00023,Golden Retriever,88.8,14.2,14.1,54.6,74.5,L,1.033,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00023_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00023_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00023_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00023_stage4_vton_L.png
25,golden_golden_retriever_side_view_bing_00024,Golden Retriever,116.5,18.9,18.1,55.5,74.8,XL,1.177,Tight,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00024_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00024_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00024_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00024_stage4_vton_XL.png
26,golden_golden_retriever_side_view_bing_00025,Golden Retriever,77.9,12.7,12.1,52.8,61.4,M,1.039,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00025_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00025_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00025_stage3_mask_M.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00025_stage4_vton_M.png
27,golden_golden_retriever_side_view_bing_00026,Golden Retriever,85.2,14.0,13.1,64.2,88.8,L,0.991,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00026_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00026_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00026_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00026_stage4_vton_L.png
28,golden_golden_retriever_side_view_bing_00027,Golden Retriever,90.6,14.9,14.0,38.1,63.0,L,1.053,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00027_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00027_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00027_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00027_stage4_vton_L.png
29,golden_golden_retriever_side_view_bing_00028,Golden Retriever,94.1,15.1,14.8,62.5,84.0,XL,0.951,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00028_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00028_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00028_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00028_stage4_vton_XL.png
30,golden_golden_retriever_side_view_bing_00029,Golden Retriever,86.4,13.8,13.7,56.0,77.2,L,1.005,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00029_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00029_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00029_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00029_stage4_vton_L.png
31,golden_golden_retriever_side_view_bing_00030,Golden Retriever,81.3,13.0,12.8,8.1,58.7,L,0.945,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00030_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00030_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00030_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00030_stage4_vton_L.png
32,golden_golden_retriever_side_view_bing_00031,Golden Retriever,105.0,16.8,16.7,46.5,70.0,XL,1.061,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00031_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00031_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00031_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00031_stage4_vton_XL.png
33,golden_golden_retriever_side_view_bing_00032,Golden Retriever,90.6,14.6,14.2,59.2,78.9,L,1.053,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00032_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00032_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00032_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00032_stage4_vton_L.png
34,golden_golden_retriever_side_view_bing_00033,Golden Retriever,129.3,28.3,10.9,82.7,67.6,XL,1.306,Tight,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00033_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00033_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00033_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00033_stage4_vton_XL.png
35,golden_golden_retriever_side_view_bing_00034,Golden Retriever,99.0,15.8,15.8,24.3,62.1,XL,1.0,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00034_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00034_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00034_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00034_stage4_vton_XL.png
36,golden_golden_retriever_side_view_bing_00035,Golden Retriever,114.9,18.6,17.9,59.7,67.2,XL,1.161,Tight,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00035_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00035_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00035_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00035_stage4_vton_XL.png
37,golden_golden_retriever_side_view_bing_00036,Golden Retriever,90.8,15.0,13.9,44.8,65.1,L,1.056,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00036_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00036_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00036_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00036_stage4_vton_L.png
38,golden_golden_retriever_side_view_bing_00037,Golden Retriever,91.8,14.8,14.4,60.2,79.3,L,1.067,Tight,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00037_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00037_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00037_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00037_stage4_vton_L.png
39,golden_golden_retriever_side_view_bing_00038,Golden Retriever,100.5,16.2,15.8,48.0,81.6,XL,1.015,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00038_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00038_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00038_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00038_stage4_vton_XL.png
40,golden_golden_retriever_side_view_bing_00039,Golden Retriever,83.1,13.3,13.2,57.6,76.0,L,0.966,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00039_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00039_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00039_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00039_stage4_vton_L.png
41,golden_golden_retriever_side_view_bing_00040,Golden Retriever,97.2,15.8,15.1,61.5,67.4,XL,0.982,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00040_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00040_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00040_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00040_stage4_vton_XL.png
42,golden_golden_retriever_side_view_bing_00041,Golden Retriever,98.4,15.9,15.4,41.7,75.9,XL,0.994,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00041_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00041_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00041_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00041_stage4_vton_XL.png
43,golden_golden_retriever_side_view_bing_00042,Golden Retriever,79.8,13.4,11.9,48.6,57.3,M,1.064,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00042_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00042_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00042_stage3_mask_M.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00042_stage4_vton_M.png
44,golden_golden_retriever_side_view_bing_00043,Golden Retriever,98.0,15.6,15.6,52.4,67.4,XL,0.99,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00043_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00043_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00043_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00043_stage4_vton_XL.png
45,golden_golden_retriever_side_view_bing_00044,Golden Retriever,111.0,18.0,17.3,44.6,64.1,XL,1.121,Tight,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00044_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00044_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00044_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00044_stage4_vton_XL.png
